schema_version,case_id,category,channel,task_type,before_text,after_text,entity_rules,tags,notes,meta
v1,A-EMAIL_ADDRESS-WEB-PUBLIC,사외,WEB,홈페이지 공지,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""WEB"", ""홈페이지 공지"", ""PUBLIC""]",사외 공개: 로컬파트 비공개,"{""audience"": ""PUBLIC"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-WEB-CUSTOMER,사외,WEB,고객 포털 공지,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""WEB"", ""고객 포털 공지"", ""CUSTOMER""]",사외 공개: 로컬파트 비공개,"{""audience"": ""CUSTOMER"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-WEB-EMPLOYEE,사내,WEB,인트라넷 공지,문의 메일: hong.gildong@example.com,문의 메일: hong.gildong@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""keep"", ""params"": {}}]","[""사내"", ""WEB"", ""인트라넷 공지"", ""EMPLOYEE""]",사내 범위: 업무용 메일 허용,"{""audience"": ""EMPLOYEE"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-WEB-PARTNER,사외,WEB,파트너 포털 공지,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""WEB"", ""파트너 포털 공지"", ""PARTNER""]",사외 공개: 로컬파트 비공개,"{""audience"": ""PARTNER"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-EMAIL-PUBLIC,사외,EMAIL,뉴스레터,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""EMAIL"", ""뉴스레터"", ""PUBLIC""]",사외 공개: 로컬파트 비공개,"{""audience"": ""PUBLIC"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-EMAIL-CUSTOMER,사외,EMAIL,고객 안내 메일,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""EMAIL"", ""고객 안내 메일"", ""CUSTOMER""]",사외 공개: 로컬파트 비공개,"{""audience"": ""CUSTOMER"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-EMAIL-EMPLOYEE,사내,EMAIL,사내 전체메일,문의 메일: hong.gildong@example.com,문의 메일: hong.gildong@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""keep"", ""params"": {}}]","[""사내"", ""EMAIL"", ""사내 전체메일"", ""EMPLOYEE""]",사내 범위: 업무용 메일 허용,"{""audience"": ""EMPLOYEE"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-EMAIL-PARTNER,사외,EMAIL,협력사 공지 메일,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""EMAIL"", ""협력사 공지 메일"", ""PARTNER""]",사외 공개: 로컬파트 비공개,"{""audience"": ""PARTNER"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-PRESS-PUBLIC,사외,PRESS,보도자료,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""PRESS"", ""보도자료"", ""PUBLIC""]",사외 공개: 로컬파트 비공개,"{""audience"": ""PUBLIC"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
v1,A-EMAIL_ADDRESS-SNS-PUBLIC,사외,SNS,SNS 게시물,문의 메일: hong.gildong@example.com,문의 메일: *@example.com,"[{""entity_type"": ""EMAIL_ADDRESS"", ""action"": ""mask_partial"", ""params"": {""keep_domain"": true, ""keep_local"": 0}}]","[""사외"", ""SNS"", ""SNS 게시물"", ""PUBLIC""]",사외 공개: 로컬파트 비공개,"{""audience"": ""PUBLIC"", ""recognizer"": ""EmailRecognizer"", ""entity_type"": ""EMAIL_ADDRESS""}"
